fecha,hora,nombre,numero
2026-03-25,07:30 PM,CAMARON,84
2026-03-25,06:30 PM,LAPA,31
2026-03-25,05:30 PM,PALOMA,14
2026-03-25,04:30 PM,TUCAN,42
2026-03-25,03:30 PM,MURCIELAGO,80
2026-03-25,02:30 PM,CAIMAN,30
2026-03-25,01:30 PM,RATON,08
2026-03-25,01:30 PM,OSO,16
2026-03-25,12:30 PM,CARACOL,53
2026-03-25,11:30 AM,PUMA,46
2026-03-25,11:30 AM,MONO,13
2026-03-25,10:30 AM,CANGURO,41
2026-03-25,09:30 AM,RANA,06
2026-03-25,09:30 AM,LECHUZA,39
2026-03-25,08:30 AM,CHIVO,19
2026-03-25,08:30 AM,TUCAN,42
2026-03-24,07:30 PM,CAMARON,84
2026-03-24,06:30 PM,LAPA,31
2026-03-24,05:30 PM,PALOMA,14
2026-03-24,04:30 PM,TUCAN,42
2026-03-24,03:30 PM,MURCIELAGO,80
2026-03-24,02:30 PM,CAIMAN,30
2026-03-24,01:30 PM,RATON,08
2026-03-24,12:30 PM,CARACOL,53
2026-03-24,11:30 AM,PUMA,46
2026-03-24,09:30 AM,RANA,06
2026-03-24,08:30 AM,CHIVO,19
2026-03-23,07:30 PM,RINOCERONTE,76
2026-03-23,06:30 PM,GAVIOTA,93
2026-03-23,04:30 PM,TURPIAL,74
2026-03-23,03:30 PM,MORROCOY,91
2026-03-23,02:30 PM,CUERVO,81
2026-03-23,01:30 PM,CHIGUIRE,44
2026-03-23,12:30 PM,CONEJO,69
2026-03-23,11:30 AM,HIPOPOTAMO,73
2026-03-23,10:30 AM,PANTERA,59
2026-03-23,09:30 AM,GRILLO,54
2026-03-23,08:30 AM,CABALLO,12
2026-03-22,07:30 PM,TORTUGA,37
2026-03-22,06:30 PM,PUMA,46
2026-03-22,05:30 PM,CANGREJO,63
2026-03-22,04:30 PM,PANDA,61
2026-03-22,03:30 PM,ELEFANTE,29
2026-03-22,02:30 PM,TIGRE,10
2026-03-22,12:30 PM,VENADO,34
2026-03-22,11:30 AM,VACA,26
2026-03-22,10:30 AM,CACHICAMO,62
2026-03-22,09:30 AM,AVISPA,40
2026-03-22,08:30 AM,ARDILLA,32
2026-03-21,06:30 PM,CUERVO,81
2026-03-21,05:30 PM,GAVILAN,64
2026-03-21,04:30 PM,PUMA,46
2026-03-21,03:30 PM,BUFALO,38
2026-03-21,02:30 PM,GRILLO,54
2026-03-21,01:30 PM,PAVO,17
2026-03-21,12:30 PM,BISONTE,70
2026-03-21,11:30 AM,PERRO,27
2026-03-21,10:30 AM,COCODRILO,98
2026-03-21,09:30 AM,GARZA,45
2026-03-21,08:30 AM,PATO,57
2026-03-20,06:30 PM,MURCIELAGO,80
2026-03-20,05:30 PM,DELFIN,0
2026-03-20,04:30 PM,IGUANA,24
2026-03-20,03:30 PM,CIEMPIES,03
2026-03-20,02:30 PM,TUCAN,42
2026-03-20,01:30 PM,ALACRAN,04
2026-03-20,12:30 PM,ELEFANTE,29
2026-03-20,11:30 AM,CEBRA,23
2026-03-20,10:30 AM,CABALLO,12
2026-03-20,08:30 AM,OSO,16
2026-03-19,07:30 PM,CULEBRA,36
2026-03-19,06:30 PM,GORILA,72
2026-03-19,05:30 PM,CUERVO,81
2026-03-19,04:30 PM,CAMARON,84
2026-03-19,02:30 PM,CARACOL,53
2026-03-19,01:30 PM,BUEY,86
2026-03-19,12:30 PM,MONO,13
2026-03-19,11:30 AM,PULPO,52
2026-03-19,10:30 AM,HURON,90
2026-03-19,09:30 AM,CIEMPIES,03
2026-03-19,08:30 AM,LOBO,66
2026-03-18,07:30 PM,HORMIGA,58
2026-03-18,06:30 PM,CANARIO,50
2026-03-18,05:30 PM,PELICANO,51
2026-03-18,04:30 PM,LORO,97
2026-03-18,02:30 PM,CUCARACHA,82
2026-03-18,01:30 PM,CAIMAN,30
2026-03-18,12:30 PM,PUMA,46
2026-03-18,11:30 AM,LECHUZA,39
2026-03-18,10:30 AM,PALOMA,14
2026-03-18,09:30 AM,ANGUILA,89
2026-03-18,08:30 AM,MARIPOSA,43
2026-03-17,07:30 PM,PAUJIL,94
2026-03-17,06:30 PM,TORTUGA,37
2026-03-17,05:30 PM,TUCAN,42
2026-03-17,04:30 PM,BUFALO,38
2026-03-17,03:30 PM,GALLO,21
2026-03-17,02:30 PM,GATO,11
2026-03-17,01:30 PM,CAMALEON,60
2026-03-17,12:30 PM,BUEY,86
2026-03-17,11:30 AM,GAVILAN,64
2026-03-17,10:30 AM,LEON,05
2026-03-17,09:30 AM,PULPO,52
2026-03-16,07:30 PM,AGUILA,09
2026-03-16,06:30 PM,BURRO,18
2026-03-16,05:30 PM,AVESTRUZ,67
2026-03-16,04:30 PM,ANGUILA,89
2026-03-16,03:30 PM,VACA,26
2026-03-16,02:30 PM,PESCADO,33
2026-03-16,01:30 PM,PAVO,17
2026-03-16,12:30 PM,PEREZA,49
2026-03-16,11:30 AM,CABRA,87
2026-03-16,10:30 AM,BALLENA,0
2026-03-16,09:30 AM,ARDILLA,32
2026-03-16,08:30 AM,MURCIELAGO,80
2026-03-15,07:30 PM,BUHO,83
2026-03-15,06:30 PM,ESCARABAJO,95
2026-03-15,05:30 PM,CALAMAR,79
2026-03-15,04:30 PM,GRILLO,54
2026-03-15,03:30 PM,CISNE,92
2026-03-15,02:30 PM,CHIVO,19
2026-03-15,12:30 PM,TORO,02
2026-03-15,11:30 AM,LAPA,31
2026-03-15,10:30 AM,PERICO,07
2026-03-15,09:30 AM,ZORRO,15
2026-03-15,08:30 AM,GALLINA,25
2026-03-14,07:30 PM,GUACAMAYA,71
2026-03-14,06:30 PM,CULEBRA,36
2026-03-14,05:30 PM,CACHICAMO,62
2026-03-14,04:30 PM,BUEY,86
2026-03-14,03:30 PM,JIRAFA,35
2026-03-14,02:30 PM,TIBURON,56
2026-03-14,12:30 PM,LORO,97
